start_map,start_cell,target_map,target_cell
100,372,101,343
100,383,36,345
1000,372,1001,236
1000,383,999,243
10000,202,9928,204
10000,24,9999,445
10000,421,10001,448
10000,457,9921,37
10001,434,10000,436
10001,460,10002,40
10002,115,9921,117
10002,25,10001,446
10002,363,10003,390
10002,457,9914,37
10003,376,10002,378
10003,461,10004,41
10004,144,9914,146
10004,26,10003,447
10004,421,10005,448
10004,460,10031,39
10005,434,10004,438
10005,459,10006,39
10006,24,10005,445
10006,460,10007,40
10007,25,10006,446
10007,376,10032,320
10007,461,10008,41
10008,173,10009,146
10008,26,10007,447
10009,160,10008,187
10009,25,10032,446
10009,376,9917,378
10009,462,10010,42
1001,221,1000,357
10010,202,10011,204
10010,27,10009,448
10011,17,9917,438
10011,189,10010,216
10011,202,9926,175
10011,461,10012,41
10012,202,10013,204
10012,26,10011,447
10013,189,10012,216
10013,26,9926,447
10013,461,10014,41
10013,86,9935,88
10014,173,10015,175
10014,26,10013,447
10015,160,10014,187
10015,24,9935,445
10015,347,10028,349
10015,460,10016,40
10016,25,10015,446
10016,86,10017,88
10017,144,9901,146
10017,23,10028,444
10017,461,10018,41
10017,73,10016,100
10018,202,9900,204
10018,26,10017,447
1002,137,1003,169
1002,228,999,398
1002,266,1003,345
1002,444,1048,240
10026,20,9951,441
10026,218,10028,245
10026,454,9901,34
10026,57,9903,88
10027,160,9998,158
10027,20,9996,442
10027,260,10029,262
10027,456,9936,35
10028,21,9943,442
10028,231,10026,233
10028,334,10015,361
10028,458,10017,38
10029,20,9992,440
10029,247,10027,274
10029,456,9944,36
1003,155,1002,152
1003,360,1002,281
10030,173,9978,175
10030,218,9972,245
10030,22,10097,443
10030,460,9976,40
10031,231,9915,262
10031,24,10004,446
10031,456,10032,36
10032,21,10031,442
10032,305,10007,390
10032,318,9916,320
10032,460,10009,40
1004,102,1012,100
1004,20,674,440
1004,452,1006,32
1005,20,1006,440
1005,218,1016,216
1005,458,270,37
1006,17,1004,438
1006,218,1014,216
1006,455,1005,35
1007,217,933,301
10097,202,9979,146
10097,218,9971,245
10097,23,9983,444
10097,457,10030,37
101,329,100,386
1010,243,1011,309
1010,380,25,93
1011,171,1043,353
1011,294,1010,228
10111,167,7411,231
10114,21,10121,441
10114,260,10119,233
10114,334,10115,332
10114,454,10117,33
10115,21,10122,441
10115,347,10114,320
10115,457,10116,36
10116,22,10115,442
10116,231,10117,204
10117,19,10114,440
10117,218,10116,245
10117,289,10118,262
10118,22,10119,442
10118,276,10117,274
10119,23,10120,444
10119,247,10114,245
10119,457,10118,21
1012,115,1004,88
1012,189,561,216
1012,22,670,443
1012,459,1014,37
10120,247,10121,245
10120,458,10119,37
10121,247,10122,245
10121,260,10120,233
10121,456,10114,35
10122,260,10121,262
10122,456,10115,36
10129,153,10134,446
10129,168,10134,447
10129,243,10133,437
10129,258,10133,438
10129,352,8478,565
10129,367,8478,584
10131,334,10132,361
10131,455,10133,34
10132,376,10131,320
10132,457,10134,37
10133,189,10134,187
10133,20,10131,441
10133,451,10129,257
10133,452,10129,272
10134,202,10133,175
10134,22,10132,443
10134,461,10129,167
10134,462,10129,182
10135,318,10136,262
10135,459,10137,39
10136,276,10135,332
10136,457,10138,35
10137,202,10138,175
10137,24,10135,445
10137,461,8482,182
10137,462,8482,197
10138,189,10137,187
10138,21,10136,443
10138,451,8482,257
10138,452,8482,272
1014,218,564,245
1014,23,1012,445
1014,231,1006,204
1014,457,1016,36
1015,140,1018,357
1015,209,1036,395
1015,296,910,178
10151,451,8344,303
10154,104,9124,181
10154,107,9124,181
10154,108,9124,181
10154,111,9124,181
10154,119,9124,181
10154,120,9124,181
10154,121,9124,181
10154,122,9124,181
10154,123,9124,181
10154,124,9124,181
10154,125,9124,181
10154,133,9124,181
10154,135,9124,181
10154,136,9124,181
10154,137,9124,181
10154,138,9124,181
10154,140,9124,181
10154,141,9124,181
10154,148,9124,181
10154,151,9124,181
10154,152,9124,181
10154,153,9124,181
10154,154,9124,181
10154,156,9124,181
10154,163,9124,181
10154,166,9124,181
10154,167,9124,181
10154,169,9124,181
10154,171,9124,181
10154,178,9124,181
10154,179,9124,181
10154,180,9124,181
10154,181,9124,181
10154,182,9124,181
10154,183,9124,181
10154,184,9124,181
10154,186,9124,181
10154,193,9124,181
10154,195,9124,181
10154,196,9124,181
10154,198,9124,181
10154,199,9124,181
10154,201,9124,181
10154,202,9124,181
10154,208,9124,181
10154,209,9124,181
10154,210,9124,181
10154,211,9124,181
10154,213,9124,181
10154,214,9124,181
10154,216,9124,181
10154,224,9124,181
10154,225,9124,181
